%OpenBCI Raw EEG Data
%
%Sample Rate = 200.0 Hz
%First Column = SampleIndex
%Last Column = Timestamp 
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
58, -187.73, 1.71, 10.48, 14.13, 0.000, 0.000, 0.000, 15:20:14.406
59, 204.26, 5.30, 12.09, 12.47, 0.000, 0.000, 0.000, 15:20:14.406
60, 36.26, 9.96, 10.26, 11.10, 0.000, 0.000, 0.000, 15:20:14.407
61, -286.91, 2.21, 15.10, 12.93, 0.000, 0.000, 0.000, 15:20:14.428
62, 102.22, 7.52, 10.90, 13.22, 0.000, 0.000, 0.000, 15:20:14.428
63, 166.34, 10.02, 8.82, 14.62, 0.000, 0.000, 0.000, 15:20:14.428
64, -259.22, 9.82, 12.96, 12.18, 0.000, 0.000, 0.000, 15:20:14.429
65, -28.26, 9.20, 12.48, 8.59, 0.000, 0.000, 0.000, 15:20:14.450
66, 250.84, 15.18, 11.94, 9.84, 0.000, 0.000, 0.000, 15:20:14.451
67, -148.17, 7.86, 6.73, 15.07, 0.000, 0.000, 0.000, 15:20:14.451
68, -186.15, 5.04, 13.42, 16.12, 0.000, 0.000, 0.000, 15:20:14.451
69, 209.10, 9.79, 12.96, 11.47, 0.000, 0.000, 0.000, 15:20:14.473
70, 42.13, 13.22, 6.66, 10.86, 0.000, 0.000, 0.000, 15:20:14.473
71, -273.01, 10.19, 8.81, 14.95, 0.000, 0.000, 0.000, 15:20:14.474
72, 109.74, 5.91, 4.99, 4.81, 0.000, 0.000, 0.000, 15:20:14.474
73, 188.76, 8.20, 11.72, 8.21, 0.000, 0.000, 0.000, 15:20:14.475
74, -270.87, 9.71, 10.63, 12.75, 0.000, 0.000, 0.000, 15:20:14.475
75, -34.93, 8.21, 15.09, 16.98, 0.000, 0.000, 0.000, 15:20:14.495
76, 243.99, 6.57, 11.58, 15.51, 0.000, 0.000, 0.000, 15:20:14.496
77, -157.63, 11.26, 11.97, 11.96, 0.000, 0.000, 0.000, 15:20:14.496
78, -209.98, 4.59, 14.54, 17.33, 0.000, 0.000, 0.000, 15:20:14.497
79, 232.95, 8.00, 12.28, 12.17, 0.000, 0.000, 0.000, 15:20:14.518
80, 53.79, 8.63, 9.98, 7.76, 0.000, 0.000, 0.000, 15:20:14.518
81, -282.14, 4.80, 13.20, 10.80, 0.000, 0.000, 0.000, 15:20:14.519
82, 115.22, 7.95, 11.26, 9.84, 0.000, 0.000, 0.000, 15:20:14.519
83, 181.18, 10.83, 10.70, 11.82, 0.000, 0.000, 0.000, 15:20:14.541
84, -265.60, 15.16, 7.43, 13.01, 0.000, 0.000, 0.000, 15:20:14.541
85, -39.59, -0.24, 13.25, 9.99, 0.000, 0.000, 0.000, 15:20:14.541
86, 237.48, 6.48, 12.05, 13.05, 0.000, 0.000, 0.000, 15:20:14.541
87, -152.06, 13.27, 6.64, 15.12, 0.000, 0.000, 0.000, 15:20:14.563
88, -197.30, 3.28, 13.79, 13.15, 0.000, 0.000, 0.000, 15:20:14.563
89, 185.70, 5.82, 12.81, 13.70, 0.000, 0.000, 0.000, 15:20:14.563
90, 38.99, 13.18, 8.61, 6.86, 0.000, 0.000, 0.000, 15:20:14.564
91, -292.67, 6.72, 11.33, 13.91, 0.000, 0.000, 0.000, 15:20:14.564
92, 93.13, 7.60, 10.37, 8.50, 0.000, 0.000, 0.000, 15:20:14.564
93, 165.94, 13.71, 12.26, 11.32, 0.000, 0.000, 0.000, 15:20:14.585
94, -275.51, 5.03, 9.90, 12.26, 0.000, 0.000, 0.000, 15:20:14.586
95, -49.70, 5.56, 14.47, 14.35, 0.000, 0.000, 0.000, 15:20:14.586
96, 227.11, 7.21, 13.47, 9.37, 0.000, 0.000, 0.000, 15:20:14.586
97, -158.41, 10.86, 6.25, 9.53, 0.000, 0.000, 0.000, 15:20:14.608
98, -201.53, 4.28, 10.80, 13.39, 0.000, 0.000, 0.000, 15:20:14.608
99, 197.45, 7.70, 9.73, 10.99, 0.000, 0.000, 0.000, 15:20:14.609
